claimId,flaggedDate,confirmedFraud
CL0001,2023-11-06,True
CL0018,2024-05-01,False
CL0044,2023-08-31,True
CL0062,2024-03-08,False
CL0088,2023-09-07,True
CL0094,2023-07-21,False
CL0096,2023-09-16,True
CL0097,2023-08-26,False
CL0113,2023-07-15,True
CL0120,2023-11-05,False
CL0130,2024-03-24,True
CL0142,2023-11-02,True
CL0149,2024-03-07,True
CL0167,2023-08-21,False
CL0203,2023-10-07,False
CL0209,2023-12-15,True
CL0215,2023-12-17,True
CL0218,2024-03-06,True
CL0273,2023-08-11,False
CL0281,2024-02-05,False
CL0287,2024-04-22,False
CL0294,2024-01-11,True
CL0295,2023-11-07,True
CL0313,2023-07-22,False
CL0315,2023-09-04,False
CL0321,2023-11-10,True
CL0346,2023-10-17,False
CL0358,2023-11-20,True
CL0359,2023-11-25,True
CL0370,2023-07-01,True
CL0372,2023-06-07,False
CL0376,2023-08-25,False
CL0379,2023-09-17,True
CL0382,2024-03-10,True
CL0387,2023-07-27,True
CL0411,2024-01-02,True
CL0414,2023-10-17,True
CL0427,2023-08-16,True
CL0465,2024-02-01,True
CL0488,2023-08-07,False
CL0489,2024-01-07,False
CL0494,2023-08-25,True
CL0504,2023-10-22,True
CL0518,2023-07-15,True
CL0519,2023-06-24,True
CL0530,2024-04-11,True
CL0567,2023-11-21,False
CL0573,2024-05-01,True
CL0577,2023-07-14,True
CL0582,2024-04-26,False
CL0585,2023-10-19,False
CL0588,2024-03-07,False
CL0604,2024-02-02,False
CL0605,2024-02-22,False
CL0612,2024-01-14,False
CL0621,2023-11-01,True
CL0634,2023-11-20,False
CL0645,2024-01-29,True
CL0646,2023-12-20,True
CL0669,2024-05-26,False
CL0672,2024-05-29,True
CL0685,2023-09-04,True
CL0691,2023-07-31,False
CL0703,2023-07-11,False
CL0714,2023-08-17,True
CL0755,2023-08-13,True
CL0759,2024-05-12,False
CL0772,2024-02-14,False
CL0780,2024-01-21,True
CL0811,2023-11-15,True
CL0818,2024-05-15,True
CL0847,2024-04-02,True
CL0869,2024-01-05,True
CL0875,2023-07-19,True
CL0924,2023-10-19,True
CL0929,2024-01-25,False
CL0938,2023-08-20,True
CL0945,2024-05-22,False
CL0961,2024-03-01,True
CL0962,2023-08-12,False
CL0990,2024-01-21,False
CL0996,2023-12-25,False
CL1022,2024-05-24,False
CL1052,2024-06-01,False
CL1059,2023-10-14,True
CL1063,2023-09-06,False
